,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
IGHV1-2,0.9692,0.03080000000000005,3.4489559846053557,5.529692e-07,2.8313254e-06,1e-07,0.5,-5.2356553,-5.5950336,2.9186137,-12.58632,5.430237,0.0005123239,0.0,0.0009704027171276079,0.0,0.00465409,0.0,True,Tumor vs Normal,Tumor,Normal
AC234582.1,0.9648,0.03520000000000001,3.310874469642843,6.45463e-08,8.823273e-07,1e-07,0.5,-5.2315974,-5.5852604,2.4321725,-11.090149,3.1793442,0.0,0.0075139534,0.0,0.022727272727272728,0.0,0.059431814,True,Tumor vs Normal,Tumor,Normal
TRBV5-4,0.9622,0.037799999999999945,3.236912972482433,6.3158706e-07,2.2635381e-06,1e-07,0.5,-5.206566,-5.715679,3.2354872,-13.23097,8.847651,0.0019862088,0.0,0.0009704027171276079,0.0,0.016931042,0.0,True,Tumor vs Normal,Tumor,Normal
TRAV26-2,0.9416,0.05840000000000001,2.780264505499244,1.4564208e-07,8.731422e-07,1e-07,0.5,-5.193847,-5.6891403,2.9806442,-14.088091,6.2772408,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TREX1,0.9608,0.03920000000000001,3.199089279275342,3.600564e-07,2.759228e-06,1e-07,0.5,-5.1810865,-5.587331,2.6580503,-11.884245,3.7023907,0.0003456997,0.0075139534,0.001455604075691412,0.022727272727272728,0.0027121056,0.059431814,True,Tumor vs Normal,Tumor,Normal
TRBV2,0.9468,0.053200000000000025,2.879029303884215,2.9957818e-07,1.6232133e-06,1e-07,0.5,-5.09853,-5.6989737,3.386661,-14.764179,8.031004,0.00044875027,0.0,0.0009704027171276079,0.0,0.0040069465,0.0,True,Tumor vs Normal,Tumor,Normal
GPR25,0.9448,0.05520000000000003,2.840010141024949,2.0817083e-07,4.85993e-07,1e-07,0.5,-5.069998,-5.766411,3.0564375,-12.479174,9.361658,0.0006506301,0.0,0.001455604075691412,0.0,0.0046944385,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV3-33,0.9552,0.04479999999999995,3.0597123904721504,2.0736752e-07,1.4434858e-06,1e-07,0.5,-5.069596,-5.5415974,2.7673607,-12.363412,5.1075497,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TTTY14,0.9635999999999999,0.0364000000000001,3.2761072317505313,4.477979e-07,4.572329e-06,1e-07,0.5,-5.052753,-5.4558277,2.8437812,-10.994589,4.5180416,0.0016797641,0.0,0.004366812227074236,0.0,0.013528579,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV1-6,0.9558,0.04420000000000002,3.0738236812785265,1.8773449e-07,1.5858747e-06,1e-07,0.5,-5.046798,-5.4787064,2.7051928,-12.181002,4.430935,0.00073710363,0.0,0.00048520135856380397,0.0,0.009652273,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV29-1,0.9484,0.05159999999999998,2.911254498449377,1.7259966e-07,1.0953862e-06,1e-07,0.5,-5.0040803,-5.316448,3.04741,-13.469231,7.2394257,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
AC012368.1,0.9633999999999999,0.03660000000000008,3.2704201909446957,1.2987724e-06,1.254482e-05,1e-07,0.5,-4.984478,-5.304573,2.870235,-13.955726,4.9941874,0.0050214403,0.0,0.007278020378457059,0.0,0.05313757,0.0,True,Tumor vs Normal,Tumor,Normal
AC008914.1,0.9668,0.03320000000000001,3.371441482045512,1.3959688e-07,1.9042154e-06,1e-07,0.5,-4.9619946,-5.23048,2.4455674,-12.388815,5.155073,0.0,0.010040408,0.0,0.022727272727272728,0.0,0.085374005,True,Tumor vs Normal,Tumor,Normal
TRAV9-2,0.9492,0.050799999999999956,2.9277229836619862,2.1525929e-07,1.0502298e-06,1e-07,0.5,-4.905508,-5.279997,3.045151,-14.795925,8.3604355,0.00021309566,0.0,0.0009704027171276079,0.0,0.0017208355,0.0,True,Tumor vs Normal,Tumor,Normal
ATRIP,0.9411999999999999,0.058800000000000074,2.7730136425053464,1.5098423e-06,5.977516e-06,1e-07,0.5,-4.8719788,-5.6625214,2.7737882,-10.009409,6.0092964,0.0032232492,0.009639835,0.007278020378457059,0.022727272727272728,0.031376302,0.07860034,True,Tumor vs Normal,Tumor,Normal
TRAV23DV6,0.9408000000000001,0.05919999999999992,2.7658088769647513,1.4565518e-07,1.1781431e-06,1e-07,0.5,-4.8164825,-5.194598,2.8954735,-14.238388,6.395193,0.0004270012,0.0,0.00048520135856380397,0.0,0.0038149878,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV3-25,0.9542,0.04579999999999995,3.036588994101264,4.5597628e-07,1.8820839e-06,1e-07,0.5,-4.806742,-5.29959,3.1460738,-12.134214,7.808812,0.0018391078,0.0,0.0019408054342552159,0.0,0.022523995,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV3-30,0.956,0.04400000000000004,3.078568062320689,6.410326e-07,4.6405867e-06,1e-07,0.5,-4.7926974,-4.940136,2.9774213,-12.603243,7.0614386,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRAV8-1,0.9384,0.06159999999999999,2.723514275118579,1.5740271e-07,8.4299194e-07,1e-07,0.5,-4.760771,-5.136711,2.9401302,-12.880856,7.4816313,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV5-51,0.9476,0.0524,2.8950257006709337,9.5175824e-07,6.561517e-06,1e-07,0.5,-4.7346935,-5.090046,3.1215,-12.931529,5.141012,0.0018701876,0.009459743,0.0019408054342552159,0.022727272727272728,0.0264532,0.08427292,True,Tumor vs Normal,Tumor,Normal
TRAV29DV5,0.9516,0.0484,2.978644768603285,3.3520442e-07,1.40815e-06,1e-07,0.5,-4.7334795,-5.086321,2.90592,-13.653277,8.983107,0.0010785718,0.0,0.0009704027171276079,0.0,0.008421079,0.0,True,Tumor vs Normal,Tumor,Normal
EDC4,0.9516,0.0484,2.978644768603285,6.83459e-07,4.142981e-06,1e-07,0.5,-4.7269573,-5.26563,2.5774932,-10.303772,3.5763493,0.00087354635,0.0,0.0024260067928190197,0.0,0.0070479927,0.0,True,Tumor vs Normal,Tumor,Normal
IGLV2-23,0.9638,0.03620000000000001,3.2818244195070476,2.1734868e-06,1.2532451e-05,1e-07,0.5,-4.7245646,-5.1070094,2.663295,-11.647331,5.430217,0.0015608743,0.007814044,0.0033964095099466274,0.022727272727272728,0.0142141,0.06211315,True,Tumor vs Normal,Tumor,Normal
IGLV3-19,0.9524,0.047599999999999976,2.996152153791112,5.649089e-07,2.7085682e-06,1e-07,0.5,-4.7048144,-5.2053328,2.7165754,-11.612421,5.0896206,0.00054425537,0.0,0.00048520135856380397,0.0,0.0062397686,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV12-4,0.9578,0.042200000000000015,3.122218540340339,3.3375923e-07,8.9093277e-07,1e-07,0.5,-4.701709,-5.3238173,3.3605735,-13.354027,8.427827,0.0011805673,0.0,0.001455604075691412,0.0,0.008299549,0.0,True,Tumor vs Normal,Tumor,Normal
IGHV1-46,0.9712,0.028800000000000048,3.5181566962377104,1.0321586e-06,3.6487265e-06,1e-07,0.5,-4.699265,-5.3174896,2.709897,-11.807808,5.1188297,0.0021214401,0.0,0.0038816108685104313,0.0,0.02078916,0.0,True,Tumor vs Normal,Tumor,Normal
