,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
ARNTL2,0.9526,0.0474,3.0005726591928727,5.441261e-06,2.071136e-05,1e-07,0.5,-1.8720733,-1.9185524,0.72380567,-3.966114,0.9139309,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
JPH1,0.9374,0.06259999999999999,2.706344658305962,7.3716393e-07,2.5605977e-06,1e-07,0.5,-1.8705847,-1.9355955,0.9063993,-4.945673,1.9672108,0.0,0.011949447,0.0,0.06666666666666667,0.0,0.084669486,True,Left vs Right,Left,Right
REP15,0.9452,0.05479999999999996,2.8477061794568197,1.5197284e-06,5.5536148e-06,1e-07,0.5,-1.8681736,-1.8777857,0.85403204,-4.6451607,1.2444897,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
RAB27B,0.9228,0.07720000000000005,2.4810129505717815,2.6745565e-06,9.908224e-06,1e-07,0.5,-1.8669881,-1.8422747,0.97038364,-5.7162466,0.9058609,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SCD,0.9744,0.025599999999999956,3.6392291651079196,1.10873825e-05,4.0416624e-05,1e-07,0.5,-1.8642576,-1.8579545,0.70240307,-4.81367,0.28342533,0.0,0.011371843,0.0,0.06666666666666667,0.0,0.076731704,True,Left vs Right,Left,Right
EXPH5,0.9431999999999999,0.05680000000000007,2.809741858041937,7.0482076e-07,2.4960216e-06,1e-07,0.5,-1.8623065,-1.8572092,0.8400679,-4.8805904,0.97644234,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
HAGLR,0.9786,0.021399999999999975,3.822731599756288,1.9091963e-06,6.8148547e-06,1e-07,0.5,-1.860414,-1.8764992,0.65680844,-4.0890255,0.45308685,0.0,0.014995832,0.0,0.06666666666666667,0.0,0.10899615,True,Left vs Right,Left,Right
GCC2-AS1,0.9258,0.07420000000000004,2.523893954454423,4.92635e-07,1.4029254e-07,1e-07,0.5,1.8599914,1.8392067,0.80413824,-0.77563477,4.6203613,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MID1,0.976,0.02400000000000002,3.705408349644468,9.101131e-06,3.340571e-05,1e-07,0.5,-1.8596164,-1.916429,0.5605941,-3.6993322,0.80750465,0.0,0.02380106,0.0,0.06666666666666667,0.0,0.20154892,True,Left vs Right,Left,Right
AC062017.1,0.9714,0.02859999999999996,3.525331272729971,1.0382036e-05,2.9199352e-06,1e-07,0.5,1.857693,1.8620625,0.72900516,-0.6805248,3.8909216,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
C1orf53,0.958,0.04200000000000004,3.127177932030695,2.222092e-06,8.523526e-06,1e-07,0.5,-1.8575256,-1.894578,0.7493399,-3.8469067,1.2980499,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
